,Date,Province,New Clinical Cases,Total Clinical Cases,New Cases Among Medical Staff,Total Cases Among Medical Staff,New Deaths,Total Deaths
0,2003-04-26,Beijing,113,988,7.0,167.0,6,48
1,2003-04-26,Tianjin,1,22,0.0,10.0,0,2
2,2003-04-26,Hebei,3,21,0.0,5.0,0,0
3,2003-04-26,Shanxi,22,195,1.0,47.0,0,8
4,2003-04-26,Inner Mongolia,4,74,0.0,13.0,0,6
5,2003-04-26,Liaoning,0,1,0.0,0.0,0,0
6,2003-04-26,Jilin,0,7,0.0,2.0,0,0
7,2003-04-26,Heilongjiang,0,0,0.0,0.0,0,0
8,2003-04-26,Shanghai,0,2,0.0,0.0,0,0
9,2003-04-26,Jiangsu,0,0,0.0,0.0,0,0
10,2003-04-26,Zhejiang,0,3,0.0,0.0,0,0
11,2003-04-26,Anhui,0,1,0.0,0.0,0,0
12,2003-04-26,Fujian,0,3,0.0,0.0,0,0
13,2003-04-26,Jiangxi,0,0,0.0,0.0,0,0
14,2003-04-26,Shandong,0,1,0.0,0.0,0,0
15,2003-04-26,Henan,1,10,0.0,1.0,0,0
16,2003-04-26,Hubei,1,2,0.0,1.0,0,0
17,2003-04-26,Hunan,0,6,0.0,0.0,0,1
18,2003-04-26,Guangdong,5,1379,0.0,342.0,1,51
19,2003-04-26,Guangxi,0,16,0.0,0.0,0,3
20,2003-04-26,Chongqing,0,0,0.0,0.0,0,0
21,2003-04-26,Sichuan,1,10,0.0,0.0,0,2
22,2003-04-26,Shaanxi,3,5,0.0,0.0,0,0
23,2003-04-26,Gansu,0,2,0.0,0.0,0,0
24,2003-04-26,Ningxia,0,5,0.0,0.0,0,1
25,2003-04-26,Xinjiang,0,0,0.0,0.0,0,0
27,2003-04-27,Beijing,126,1114,20.0,187.0,8,56
28,2003-04-27,Tianjin,0,22,0.0,10.0,0,2
29,2003-04-27,Hebei,6,27,1.0,6.0,0,0
30,2003-04-27,Shanxi,19,214,1.0,48.0,1,9
31,2003-04-27,Inner Mongolia,2,76,0.0,13.0,0,6
32,2003-04-27,Liaoning,0,1,0.0,0.0,0,0
33,2003-04-27,Jilin,0,7,0.0,2.0,0,0
34,2003-04-27,Heilongjiang,0,0,0.0,0.0,0,0
35,2003-04-27,Shanghai,0,2,0.0,0.0,0,0
36,2003-04-27,Jiangsu,0,0,0.0,0.0,0,0
37,2003-04-27,Zhejiang,0,3,0.0,0.0,0,0
38,2003-04-27,Anhui,3,4,0.0,0.0,0,0
39,2003-04-27,Fujian,0,3,0.0,0.0,0,0
40,2003-04-27,Jiangxi,0,0,0.0,0.0,0,0
41,2003-04-27,Shandong,0,1,0.0,0.0,0,0
42,2003-04-27,Henan,0,10,0.0,1.0,0,0
43,2003-04-27,Hubei,0,2,0.0,1.0,0,0
